From,To,Onboard_private,Onboard_business,Onboard_total
Lindekullen,Mjölby,159.26250615384618,37.163,196.42550615384613
Linghem,Gistad,147.82399846153845,34.87767692307692,182.70167538461536
Linghem,Linköpings central,148.29670230769233,36.571592307692306,184.86829461538463
Linköpings central,Linghem,147.82399846153845,34.87767692307692,182.70167538461536
Linköpings central,Vikingstad,150.42529461538464,35.897680769230774,186.3229753846154
Lunds central,Klostergården,81.2552676923077,22.34729076923078,103.60255846153846
Lunds central,Tornhill,110.33884846153848,29.56352384615385,139.90237230769233
Malmsjö,Björnkulla,136.4862746153846,32.88752076923077,169.37379538461533
Malmsjö,Södertälje syd övre,139.40875384615384,35.080984615384615,174.48973846153845
Malmö central,Malmö godsbangård,78.48471538461538,23.38663846153846,101.87135384615385
Malmö godsbangård,Arlöv,78.48471538461538,23.38663846153846,101.87135384615385
Malmö godsbangård,Malmö central,81.2552676923077,22.34729076923078,103.60255846153846
Mantorp,Mjölby,150.42529461538464,35.897680769230774,186.3229753846154
Mantorp,Vikingstad,146.11026769230767,33.334592307692304,179.44486
Mellby,Hässleholm,110.63889923076924,29.604506923076926,140.24340615384617
Mellby,Sösdala,116.09699,29.82421846153847,145.92120846153847
Mjölby,Lindekullen,165.06260230769234,39.72730384615385,204.78990615384618
Mjölby,Mantorp,146.11026769230767,33.334592307692304,179.44486
Moheda,Gåvetorp,158.79719461538465,39.2949576923077,198.09215230769234
Moheda,Lidnäs,153.3458753846154,37.0032,190.3490753846154
Mosselund,Ballingslöv,140.96811769230771,34.619511538461545,175.58762923076924
Mosselund,Hästveda,136.81624461538462,34.44532846153846,171.26157307692307
Mölnbo,Gnesta,144.03176000000002,36.065740769230764,180.09750076923078
Mölnbo,Järna,139.2966292307692,33.12858615384615,172.42521538461537
Norrköpings central,Fiskeby,148.29670230769233,36.571592307692306,184.86829461538463
Norrköpings central,Åby,141.01927538461536,33.48742923076922,174.5067046153846
Norsholm,Gistad,148.29670230769233,36.571592307692306,184.86829461538463
Norsholm,Kimstad,147.82399846153845,34.87767692307692,182.70167538461536
Nyckelsjön,Sparreholm,144.03176000000002,36.065740769230764,180.09750076923078
Nyckelsjön,Stjärnhov,139.2966292307692,33.12858615384615,172.42521538461537
Nässjö central,Gamlarp,159.26250615384618,37.163,196.42550615384613
Nässjö central,Grimstorp,158.79719461538465,39.2949576923077,198.09215230769234
Osby,Hästveda,140.96811769230771,34.619511538461545,175.58762923076924
Osby,Tunneby,136.81624461538462,34.44532846153846,171.26157307692307
Ralingsås,Aneby,165.06260230769234,39.72730384615385,204.78990615384618
Ralingsås,Frinnaryd,159.26250615384618,37.163,196.42550615384613
Rörvik,Lammhult,158.79719461538465,39.2949576923077,198.09215230769234
Rörvik,Stockaryd,153.3458753846154,37.0032,190.3490753846154
Simonstorp,Strångsjö,141.01927538461536,33.48742923076922,174.5067046153846
Simonstorp,Åby,142.44854846153845,34.9316923076923,177.38024076923077
Skebokvarn,Flen,144.03176000000002,36.065740769230764,180.09750076923078
Skebokvarn,Sparreholm,139.2966292307692,33.12858615384615,172.42521538461537
Sköldinge,Flen,139.2966292307692,33.12858615384615,172.42521538461537
Sköldinge,Stolpstugan,144.03176000000002,36.065740769230764,180.09750076923078
Sommen,Boxholm,159.26250615384618,37.163,196.42550615384613
Sommen,Tranås,165.06260230769234,39.72730384615385,204.78990615384618
Sparreholm,Nyckelsjön,139.2966292307692,33.12858615384615,172.42521538461537
Sparreholm,Skebokvarn,144.03176000000002,36.065740769230764,180.09750076923078
Stehag,Eslöv,116.09699,29.82421846153847,145.92120846153847
Stehag,Höör,110.63889923076924,29.604506923076926,140.24340615384617
Stjärnhov,Björnlunda,139.2966292307692,33.12858615384615,172.42521538461537
Stjärnhov,Nyckelsjön,144.03176000000002,36.065740769230764,180.09750076923078
Stockaryd,Aleholm,153.3458753846154,37.0032,190.3490753846154
Stockaryd,Rörvik,158.79719461538465,39.2949576923077,198.09215230769234
Stockholms Central,Stockholms Södra,122.756,32.16422307692308,154.92022307692307
Stockholms Södra,Stockholms Central,121.46648999999996,31.254420769230766,152.72091076923073
Stockholms Södra,Årstaberg,122.756,32.16422307692308,154.92022307692307
Stolpstugan,Katrineholms central,144.03176000000002,36.065740769230764,180.09750076923078
Stolpstugan,Sköldinge,139.2966292307692,33.12858615384615,172.42521538461537
Strångsjö,Katrineholms central,141.01927538461536,33.48742923076922,174.5067046153846
Strångsjö,Simonstorp,142.44854846153845,34.9316923076923,177.38024076923077
Stuvsta,Huddinge,122.756,32.16422307692308,154.92022307692307
Stuvsta,Älvsjö,121.46648999999996,31.254420769230766,152.72091076923073
Stångby,Tornhill,114.93503230769231,29.63283230769232,144.56786461538462
Stångby,Örtofta,110.33884846153848,29.56352384615385,139.90237230769233
Sävsjö,Aleholm,158.79719461538465,39.2949576923077,198.09215230769234
Sävsjö,Ulvstorp,153.3458753846154,37.0032,190.3490753846154
Södertälje syd övre,Bränninge,144.03176000000002,36.065740769230764,180.09750076923078
Södertälje syd övre,Malmsjö,136.4862746153846,32.88752076923077,169.37379538461533
Sösdala,Mellby,110.63889923076924,29.604506923076926,140.24340615384617
Sösdala,Vätteryd,116.09699,29.82421846153847,145.92120846153847
Tjörnarp,Höör,116.09699,29.82421846153847,145.92120846153847
Tjörnarp,Vätteryd,110.63889923076924,29.604506923076926,140.24340615384617
Tornhill,Lunds central,114.93503230769231,29.63283230769232,144.56786461538462
Tornhill,Stångby,110.33884846153848,29.56352384615385,139.90237230769233
Tranås,Gripenberg,165.06260230769234,39.72730384615385,204.78990615384618
Tranås,Sommen,159.26250615384618,37.163,196.42550615384613
Tunneby,Killeberg,136.81624461538462,34.44532846153846,171.26157307692307
Tunneby,Osby,140.96811769230771,34.619511538461545,175.58762923076924
Ulvstorp,Bodafors,153.3458753846154,37.0032,190.3490753846154
Ulvstorp,Sävsjö,158.79719461538465,39.2949576923077,198.09215230769234
Vikingstad,Linköpings central,146.11026769230767,33.334592307692304,179.44486
Vikingstad,Mantorp,150.42529461538464,35.897680769230774,186.3229753846154
Vimnarp,Flisby,159.26250615384618,37.163,196.42550615384613
Vimnarp,Gamlarp,165.06260230769234,39.72730384615385,204.78990615384618
Vislanda,Blädinge,136.81624461538462,34.44532846153846,171.26157307692307
Vislanda,Eneryda,140.96811769230771,34.619511538461545,175.58762923076924
Vätteryd,Sösdala,110.63889923076924,29.604506923076926,140.24340615384617
